"Inherit from FrontendForms will take the setting from this module.","Bei Übernahme aus dem FrontendForms-Module wird der dort angegebene Wert herangezogen",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,0a6eca4828ea7f3fa67e27f3e5920330
"Email address(es) for the notification email","E-Mail-Adresse(n) für die Benachrichtigungs-E-Mail",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,3e8111530d73ea308ec70d126e363f09
"Select, if you want to enter the receiver email address(es) for the notification mails manually or if you want to select users as recipients.","Wählen Sie, ob Sie die Empfänger-E-Mail-Adresse(n) für die Benachrichtigungsmails manuell eingeben wollen oder ob Sie Benutzer als Empfänger auswählen möchten.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,345dd661feed7d2c4551cc86aa884f55
"Enter email address(es) manually","E-Mail Adresse(n) manuell eingeben",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,b21811f7d308b36ebaabcce5733c84c4
"Select users as recipients","Benutzer als Empfänger auswählen",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,11d5afc2d606e7dcba69ea6a02fbf55c
"Default email address(es) as text","Standard-E-Mail-Adresse(n) als Text",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,6c2c3ce201b61bb0f292ddd39547182e
"Enter one ore more email addresses separated by a comma.","Geben Sie eine oder mehrere E-Mail-Adressen durch ein Komma getrennt ein.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,c1a7f5308258162ab5b2e2612300bf7f
"Fe email1@mydomain.com,email2@mydomain.com.","Z.B. email1@mydomain.com,email2@mydomain.com.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,d10a52826a11d639fe9f043b49d3621f
"Recipients for the notification email","Empfänger für die Benachrichtigungs-E-Mail",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,b4e60aaff24bc873a9cabdbe476dee92
"Select one or more users that should receive a notification about new comments.","Einen oder mehrere Benutzer auswählen, die eine Benachrichtigung über neue Kommentare erhalten sollen.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,b07e22cf86d72200d151fce81d19095a
"Users with the role ""registered"" will not be displayed, because they are not allowed to get notification emails.","Benutzer mit der Rolle ""registriert"" werden nicht angezeigt, da sie keine Berechtigung als Moderator besitzen Benachrichtigungs-E-Mails zu erhalten.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,1c591febfc27d24d1c2d104c663a3d37
"From email address","Absender E-Mail-Adresse",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,6f6da7aec649851c977b6bf4e083977d
"This email address will be displayed as the sender email address of the emails sent by this module.","Diese E-Mail-Adresse wird als Absender-E-Mail-Adresse für die von diesem Modul gesendeten E-Mails angezeigt.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,e1ca26eb2ee8afa47a146779d2cfbfe9
"If no email address will be entered, %s will be displayed instead as the sender address.","Wenn keine E-Mail-Adresse eingegeben wird, wird stattdessen %s als Absenderadresse angezeigt.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,fbba3d8e1cdcf39fd8ed54db75bf6014
"From name","Absender Name",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,c3a7ea0c38bac179a545dbfaf4ebb013
"fe. My company","Z.B. Meine Firma",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,8eea8281628fde6ba6c3589554795bd2
"This name will be displayed as the sender name of the emails sent by this module.","Dieser Name wird als Absendername für die von diesem Modul gesendeten E-Mails angezeigt.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,90069328ca4958e8adefa1ea08141195
"If no sender name will be entered, than the sender email address will be used as the sender name.","Wenn kein Absendername eingegeben wird, wird die Absender-E-Mail-Adresse als Absendername verwendet.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,ddd87293a8b5d9914919b1a4f1b8f7a1
"Commenter email notification","E-Mail-Benachrichtigung für Kommentatoren",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,caa865750c8c9f7b8b17373967219228
"Send commenters notification emails about new replies","Senden Sie Kommentatoren Benachrichtigungs-E-Mails über neue Antworten",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,fc2a5437262402337914fe1fbf9500a7
Disabled,Deaktiviert,,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,b9f5c797ebbf55adccdd8539a65a0241
"Commenters can receive email notifications of replies to their comment only","Kommentatoren können nur E-Mail-Benachrichtigungen über Antworten auf ihren eigenen Kommentar erhalten",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,44f3f577cd5331fcb611a1b7cfbfea9e
"Commenters can receive email notifications for all new replies to a comment on the page","Kommentatoren können E-Mail-Benachrichtigungen für alle neuen Antworten auf einen Kommentar auf der Seite erhalten",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,0bcb6b862be06326364a8e972509ac85
"Send notification email to commenter on status change","Benachrichtigungs-E-Mail an den Kommentator bei Statusänderung senden",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,0de0e6789e667f75e611245a6404b0ca
"If a moderator changes the status of a comment, select on which status change the commenter should be informed via email.","Wählen Sie aus, bei welcher Statusänderung der Kommentator per E-Mail informiert werden soll, wenn ein Moderator den Status eines Kommentars ändert.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,2eecc951f54fe76847fad93204b3d4df
"Send notification email if status has been changed to approved","Benachrichtigung per E-Mail senden, wenn der Status in ""genehmigt"" geändert wurde",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,508ef57ce2a481bc139c0efdb58e36d3
"Send notification email if status has been changed to SPAM","Benachrichtigung per E-Mail senden, wenn der Status auf SPAM geändert wurde",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,60825941739c69b3f3eb76f22351e176
"If a box is checked, the commenter will receive an email if the comment status will be changed by a moderator in the backend or via email link. You can prevent this behavior by unchecking a box.","Wenn ein Kästchen aktiviert ist, erhält der Kommentator eine E-Mail, wenn der Kommentarstatus von einem Moderator im Backend oder per E-Mail-Link geändert wird. Sie können die Sendung eines E-Mails unterbinden, indem Sie die entsprechende Checkbox nicht markieren.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,1f2a9503d6e32f484514bce5ff3bba2b
"Output rendering","Ausgabe im Frontend",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,e22428c686e2484d13fe958b6dd96ded
"Change some parameters to get the preferred output.","Ändern Sie einige Parameter, um die gewünschte Ausgabe zu erhalten.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,2833803a0c429530b9493f78a4e01308
"Replay depth","Antwort Tiefe",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,b84b8199c0856127d4343595613c43d9
"Choose the number of depth for threaded comments","Wählen Sie die Anzahl der Levels für Kommentare im Thread",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,9e047418db24710c1f1ff3ff4595b406
"Specify 0 for traditional flat chronological comments. For threaded comments (replies appear with comment being replied to) specify the maximum depth allowed for replies (0 to 3 recommended).","Geben Sie 0 für traditionelle flache chronologische Kommentare an. Für Kommentare mit Antworten (Antworten erscheinen unterhalb des Kommentars, auf welches geantwortet wird) geben Sie bitte die maximal zulässige Tiefe für Antworten an (0 bis 3 empfohlen).",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,6e97fb6e5fbbe1d65533fa0677586336
"Sort order",Sortierreihenfolge,,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,06f1ac65b0a6a548339a38b348e64d79
"Sort newest to oldest","Neueste bis älteste Sortierung",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,3a9e45e8efa2abf76ef63223e22daa36
"Set the sort order for the comments","Legen Sie die Sortierreihenfolge für die Kommentare fest",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,e7c521055168c478ad42c2dfd34e71f1
"By default, comments will be sort chronologically (oldest to newest). To reverse that behavior check this box.","Standardmäßig werden die Kommentare chronologisch sortiert (vom ältesten zum neuesten). Um dieses Verhalten umzukehren, aktivieren Sie dieses Kästchen.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,acb226b83940bbb68550a607cbd31fc1
"Output order","Reihenfolge der Ausgabe",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,735ab173723a6556cf4e84d74ba8c245
"Show form after comments","Formular nach Kommentaren anzeigen",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,c6fd6e97fb9371b474b799f957b66081
"Reverse the order of the output of form and comments","Umkehrung der Reihenfolge der Ausgabe von Formular und Kommentaren",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,9585b41c3a813f0f87e79b18ba861f2b
"By default, the form will be displayed before the comments. To reverse that behavior check this box.","Standardmäßig wird das Formular vor den Kommentaren angezeigt. Um dieses Verhalten umzukehren, aktivieren Sie dieses Kästchen.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,a27c0484f63893d21bc0b862d8bb3bad
"Use star rating","Sterne-Bewertung verwenden",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,ba157aa98e6e03109702ab42bd4bbf58
"Show star rating","Sternebewertung anzeigen",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,98f4d588aac4f2b4955ff989194292cd
"If you want to offer star rating, please check the box","Wenn Sie eine Sternebewertung anbieten möchten, markieren Sie bitte das Kästchen",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,6ffb8cc1b5828213da5ecf672f3ec4dc
"Show/hide character counter under the textarea field","Zeichenzähler unter dem Textarea-Feld ein-/ausblenden",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,a193c5db4e9caf13d07c5cfb137f4ba5
"Hide character counter","Zeichenzähler ausblenden",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,834dc45731b9a10799aedacd7c09d997
"By default, a character counter will be displayed under the comment text field to inform the user, how many characters are left until the max. limit of 1024 characters is reached.","Standardmäßig wird unter dem Feld für den Kommentartext ein Zeichenzähler angezeigt, um den Benutzer darüber zu informieren, wie viele Zeichen noch übrig sind, bis die Höchstgrenze von 1024 Zeichen erreicht ist.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,dc4caf692f42ac6c96a7aec170e14463
"Show/hide voting of comments","Abstimmung von Kommentaren anzeigen/ausblenden",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,7cacb7f44d31e07288195d7491114a52
"Enable voting of comments","Abstimmen von Kommentaren zulassen",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,9a799cddb654e7ff5c480b745d4ebf8a
"By checking the box you offer visitors the possibility to rate comments (up-votes and down-votes).","Indem Sie das Kästchen ankreuzen, bieten Sie den Besuchern die Möglichkeit, Kommentare zu bewerten (Up- und Down-Votes).",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,637d15266d2ef7f39160da733e288f6b
"Lock in days before voting can be done again","Sperren von Tagen, bevor wieder gewählt werden kann",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,ab2d1a0086937c5c8ca65b66ba3ddfae
"To prevent multiple ratings from the same user, this module checks if the user have voted before. Please enter a time period in days during which further rating is not allowed.","Um Mehrfachbewertungen durch denselben Benutzer zu verhindern, prüft dieses Modul, ob der Benutzer schon einmal bewertet hat. Bitte geben Sie einen Zeitraum in Tagen an, in dem eine weitere Bewertung nicht erlaubt ist.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,0a068b72a2ebbd95f672f7207f80d38e
"The user will be identified by using data of his Internet fingerprint. This means that the IP address, the browser system and the user ID will be compared with entries in the database. If an entry with the same data will be found, then the rating is not allowed. Entries in the database which are older than the time period selected above will be deleted automatically and the user will be allowed to rate again.","Der Nutzer wird anhand der Daten seines Internet-Fingerabdrucks identifiziert. Das bedeutet, dass die IP-Adresse, das Browsersystem und die Benutzerkennung mit Einträgen in der Datenbank verglichen werden. Wird ein Eintrag mit den gleichen Daten gefunden, so ist die Bewertung nicht zulässig. Einträge in der Datenbank, die älter als der oben gewählte Zeitraum sind, werden automatisch gelöscht und der Nutzer darf erneut bewerten.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,7232c1e17dae3634adbc9196eee40351
"Add privacy text or privacy checkbox to the form","Datenschutztext oder Datenschutz-Checkbox zum Formular hinzufügen",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,52b7eac43569326f5fd14232ef8c8994
"Select if you want to show a privacy text only or a privacy checkbox above the submit button","Wählen Sie aus, ob Sie nur einen Datenschutztext oder ein Datenschutz-Checkbox über der Schaltfläche ""Senden"" anzeigen möchten.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,f25ff33f3e8c3f873dc85b3a401809eb
"Do not show anything","Nichts anzeigen",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,89ca52172700db318a89a30e1b677ddc
"Show checkbox","Checkbox anzeigen",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,0e99c9e8c94dc2a1c42561e4862923ae
"Show text","Text anzeigen",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,823dbdeca8e8e353dde97aa7708ff251
"You can disable the display of the privacy text/checkbox, but you should be aware that this may lead to legal consequences if a privacy notice is required in your country.","Sie können die Anzeige des Datenschutztextes bzw. der Checkbox deaktivieren, Sie sollten sich aber darüber im Klaren sein, dass dies zu rechtlichen Konsequenzen führen kann, wenn in Ihrem Land ein Datenschutzhinweis gefordert wird.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,57e0942ea0dc40513cfa36f66cf8a29c
"Spam protection","Schutz vor Spam",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,2932b465b48cf0d7c9caaf511d0c0e61
"Number of days after which to delete spam","Anzahl der Tage, nach denen ein mit Status SPAM gekennzeichnetes Kommentar gelöscht werden soll",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,bf31492fe5d4821b483bc7cb8cfe07a3
"After the number of days indicated, spam will be automatically deleted.","Nach der angegebenen Anzahl von Tagen wird der Spam-Kommentar automatisch gelöscht.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,72fe450a750c9f11bf0531e5395e6e75
CAPTCHA,=,,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,291d6945a9da1c9a56be64a04e003112
"Select, if you want to use a CAPTCHA for the comment form.","Wählen Sie, ob Sie ein CAPTCHA für das Kommentarformular verwenden möchten.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,03a342a1eb34897b1a2571498eaefe9e
"If you receive a lot of spam comments, you can enable a CAPTCHA to prevent spam bots from filling out the form.","Wenn Sie viele Spam-Kommentare erhalten, können Sie ein CAPTCHA aktivieren, um Spam-Bots am Ausfüllen des Formulars zu hindern.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,ebb7b1091b44d7c661da133022fe59e0
"Inherit from FrontendForms","Vom FrontendForms-Modul übernehmen",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,5bfe6a369b802afdb9bb4909ac726c2d
"No CAPTCHA","kein CAPTCHA",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,b23bb4764e36673626f332b94178c5ec
"JS and CSS","JavaScript und CSS",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,a1e0f2aa6605e84a010c507d52717e0e
"CSS for front-end comments output","CSS für die Ausgabe von der Kommentare im Frontend",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,2b961475041b8a085eae4ed1a597f76a
"JS for front-end comments output","JavaScript für die Kommentare im Frontend",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,4a08db526853d7aa35400a97c968e60d
FrontendComments,=,,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,6b8c682577d63258030293d8bac4919b
"Field that let you store user comments on a page using the FrontendForms module.","Feld, mit dem Sie Benutzerkommentare auf einer Seite unter Verwendung des FrontendForms-Moduls speichern können.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,bbe8f47078082191d89866cabaad534d
en,de,description,file,hash
"Updated %s for comment #%d","Aktualisiert %s für Kommentar #%d",,site/modules/FieldtypeFrontendComments/InputfieldFrontendComments.php,58b6f822b062991647cf2e70b0140352
Comments,Kommentare,,site/modules/FieldtypeFrontendComments/InputfieldFrontendComments.php,8413c683b4b27cc3f4dbd4c90329d8ba
"No comments at the moment.","Im Moment gibt es keine Kommentare.",,site/modules/FieldtypeFrontendComments/InputfieldFrontendComments.php,887cf850292de23cde65763458aa003a
Comment,Kommentar,,site/modules/FieldtypeFrontendComments/InputfieldFrontendComments.php,0be8406951cdfda82f00f79328cf4efc
Email,E-Mail,,site/modules/FieldtypeFrontendComments/InputfieldFrontendComments.php,ce8ae9da5b7cd6c3df2929543a9af92d
Author,Verfasser,,site/modules/FieldtypeFrontendComments/InputfieldFrontendComments.php,a517747c3d12f99244ae598910d979c5
